Country,Date,No. of confirmed cases,No. of confirmed deaths,Male Cases,Female Cases,Boys,Girls,Adult Male,Adult Female,Old Male,Old Female
Senegal,22/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,22/09/2014,1640,545,984,656,295.2,196.8,590.4,393.6,98.4,65.6
Liberia,24/09/2014,890,671,534,356,160.2,106.8,320.4,213.6,53.4,35.6
Senegal,24/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,24/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,24/09/2014,832,468,499.2,332.8,149.76,99.84,299.52,199.68,49.92,33.28
Sierra Leone,24/09/2014,1745,552,1047,698,314.1,209.4,628.2,418.8,104.7,69.8
Guinea,26/09/2014,876,481,525.6,350.4,157.68,105.12,315.36,210.24,52.56,35.04
Sierra Leone,26/09/2014,1816,557,1089.6,726.4,326.88,217.92,653.76,435.84,108.96,72.64
Senegal,26/09/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,26/09/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,26/09/2014,914,792,548.4,365.6,164.52,109.68,329.04,219.36,54.84,36.56
Sierra Leone,01/10/2014,2076,574,1245.6,830.4,373.68,249.12,747.36,498.24,124.56,83.04
Liberia,01/10/2014,927,890,556.2,370.8,166.86,111.24,333.72,222.48,55.62,37.08
Guinea,01/10/2014,950,535,570,380,171,114,342,228,57,38
Senegal,01/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,01/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,03/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,03/10/2014,977,562,586.2,390.8,175.86,117.24,351.72,234.48,58.62,39.08
Liberia,03/10/2014,931,934,558.6,372.4,167.58,111.72,335.16,223.44,55.86,37.24
Nigeria,03/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,03/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,03/10/2014,2179,575,1307.4,871.6,392.22,261.48,784.44,522.96,130.74,87.16
Nigeria,08/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,08/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,08/10/2014,2455,725,1473,982,441.9,294.6,883.8,589.2,147.3,98.2
Guinea,08/10/2014,1044,587,626.4,417.6,187.92,125.28,375.84,250.56,62.64,41.76
Senegal,08/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,08/10/2014,941,1018,564.6,376.4,169.38,112.92,338.76,225.84,56.46,37.64
Senegal,10/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,10/10/2014,1097,598,658.2,438.8,197.46,131.64,394.92,263.28,65.82,43.88
Nigeria,10/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,10/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,10/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,10/10/2014,2593,753,1555.8,1037.2,466.74,311.16,933.48,622.32,155.58,103.72
Liberia,10/10/2014,943,1072,565.8,377.2,169.74,113.16,339.48,226.32,56.58,37.72
Senegal,15/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,15/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,15/10/2014,950,,570,380,171,114,342,228,57,38
United States of America,15/10/2014,2,1,1.2,0.8,0.36,0.24,0.72,0.48,0.12,0.08
Sierra Leone,15/10/2014,2849,926,1709.4,1139.6,512.82,341.88,1025.64,683.76,170.94,113.96
Guinea,15/10/2014,1184,653,710.4,473.6,213.12,142.08,426.24,284.16,71.04,47.36
Spain,15/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,17/10/2014,3,1,1.8,1.2,0.54,0.36,1.08,0.72,0.18,0.12
Spain,17/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,17/10/2014,2977,932,1786.2,1190.8,535.86,357.24,1071.72,714.48,178.62,119.08
Guinea,17/10/2014,1217,671,730.2,486.8,219.06,146.04,438.12,292.08,73.02,48.68
Nigeria,17/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,17/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,22/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,22/10/2014,965,1241,579,386,173.7,115.8,347.4,231.6,57.9,38.6
Spain,22/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,22/10/2014,3,1,1.8,1.2,0.54,0.36,1.08,0.72,0.18,0.12
Nigeria,22/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,22/10/2014,3223,986,1933.8,1289.2,580.14,386.76,1160.28,773.52,193.38,128.92
Guinea,22/10/2014,1289,710,773.4,515.6,232.02,154.68,464.04,309.36,77.34,51.56
Guinea,25/10/2014,1312,732,787.2,524.8,236.16,157.44,472.32,314.88,78.72,52.48
United States of America,25/10/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,25/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,25/10/2014,3389,1008,2033.4,1355.6,610.02,406.68,1220.04,813.36,203.34,135.56
Spain,25/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,25/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,25/10/2014,1,1,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,25/10/2014,965,1241,579,386,173.7,115.8,347.4,231.6,57.9,38.6
Spain,29/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,29/10/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,29/10/2014,1391,,834.6,556.4,250.38,166.92,500.76,333.84,83.46,55.64
Senegal,29/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,29/10/2014,1,1,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,29/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,29/10/2014,3700,,2220,1480,666,444,1332,888,222,148
Liberia,29/10/2014,2515,,1509,1006,452.7,301.8,905.4,603.6,150.9,100.6
Liberia,31/10/2014,2515,,1509,1006,452.7,301.8,905.4,603.6,150.9,100.6
Mali,31/10/2014,1,1,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,31/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,31/10/2014,1409,,845.4,563.6,253.62,169.08,507.24,338.16,84.54,56.36
Spain,31/10/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,31/10/2014,3778,,2266.8,1511.2,680.04,453.36,1360.08,906.72,226.68,151.12
United States of America,31/10/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,31/10/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Nigeria,05/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,05/11/2014,2451,,1470.6,980.4,441.18,294.12,882.36,588.24,147.06,98.04
Sierra Leone,05/11/2014,4057,893,2434.2,1622.8,730.26,486.84,1460.52,973.68,243.42,162.28
Spain,05/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,05/11/2014,1,1,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,05/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,05/11/2014,1457,837,874.2,582.8,262.26,174.84,524.52,349.68,87.42,58.28
Senegal,05/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,07/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,07/11/2014,1479,850,887.4,591.6,266.22,177.48,532.44,354.96,88.74,59.16
Liberia,07/11/2014,2514,,1508.4,1005.6,452.52,301.68,905.04,603.36,150.84,100.56
Spain,07/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,07/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,07/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,07/11/2014,1,1,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,07/11/2014,4149,921,2489.4,1659.6,746.82,497.88,1493.64,995.76,248.94,165.96
Sierra Leone,12/11/2014,4523,960,2713.8,1809.2,814.14,542.76,1628.28,1085.52,271.38,180.92
Nigeria,12/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,12/11/2014,2553,,1531.8,1021.2,459.54,306.36,919.08,612.72,153.18,102.12
Mali,12/11/2014,2,2,1.2,0.8,0.36,0.24,0.72,0.48,0.12,0.08
Guinea,12/11/2014,1612,934,967.2,644.8,290.16,193.44,580.32,386.88,96.72,64.48
United States of America,12/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,12/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,12/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,14/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,14/11/2014,1647,958,988.2,658.8,296.46,197.64,592.92,395.28,98.82,65.88
United States of America,14/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,14/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,14/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,14/11/2014,3,,1.8,1.2,0.54,0.36,1.08,0.72,0.18,0.12
Sierra Leone,14/11/2014,4683,978,2809.8,1873.2,842.94,561.96,1685.88,1123.92,280.98,187.32
Liberia,14/11/2014,2562,,1537.2,1024.8,461.16,307.44,922.32,614.88,153.72,102.48
Nigeria,19/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,19/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,19/11/2014,5,4,3,2,0.9,0.6,1.8,1.2,0.3,0.2
Sierra Leone,19/11/2014,5056,1041,3033.6,2022.4,910.08,606.72,1820.16,1213.44,303.36,202.24
Liberia,19/11/2014,2643,,1585.8,1057.2,475.74,317.16,951.48,634.32,158.58,105.72
Spain,19/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,19/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,19/11/2014,1698,982,1018.8,679.2,305.64,203.76,611.28,407.52,101.88,67.92
Mali,21/11/2014,5,5,3,2,0.9,0.6,1.8,1.2,0.3,0.2
Sierra Leone,21/11/2014,5152,1058,3091.2,2060.8,927.36,618.24,1854.72,1236.48,309.12,206.08
Nigeria,21/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,21/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,21/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,21/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,21/11/2014,2669,,1601.4,1067.6,480.42,320.28,960.84,640.56,160.14,106.76
Guinea,21/11/2014,1745,998,1047,698,314.1,209.4,628.2,418.8,104.7,69.8
Liberia,26/11/2014,2727,,1636.2,1090.8,490.86,327.24,981.72,654.48,163.62,109.08
Sierra Leone,26/11/2014,5441,1189,3264.6,2176.4,979.38,652.92,1958.76,1305.84,326.46,217.64
Guinea,26/11/2014,1850,1050,1110,740,333,222,666,444,111,74
Nigeria,26/11/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,26/11/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,26/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,26/11/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,26/11/2014,7,5,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,01/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,01/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,01/12/2014,1921,1102,1152.6,768.4,345.78,230.52,691.56,461.04,115.26,76.84
Liberia,01/12/2014,2801,,1680.6,1120.4,504.18,336.12,1008.36,672.24,168.06,112.04
Nigeria,01/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,01/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,01/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,01/12/2014,5831,1321,3498.6,2332.4,1049.58,699.72,2099.16,1399.44,349.86,233.24
Mali,03/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,03/12/2014,2801,,1680.6,1120.4,504.18,336.12,1008.36,672.24,168.06,112.04
Senegal,03/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,03/12/2014,5978,1374,3586.8,2391.2,1076.04,717.36,2152.08,1434.72,358.68,239.12
United States of America,03/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,03/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,03/12/2014,1929,1117,1157.4,771.6,347.22,231.48,694.44,462.96,115.74,77.16
Spain,03/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,10/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,10/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,10/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,10/12/2014,2051,1207,1230.6,820.4,369.18,246.12,738.36,492.24,123.06,82.04
Liberia,10/12/2014,2830,,1698,1132,509.4,339.6,1018.8,679.2,169.8,113.2
Sierra Leone,10/12/2014,6375,1559,3825,2550,1147.5,765,2295,1530,382.5,255
Nigeria,10/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,10/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,15/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,15/12/2014,2115,1255,1269,846,380.7,253.8,761.4,507.6,126.9,84.6
Nigeria,15/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,15/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Senegal,15/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,15/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,15/12/2014,2946,,1767.6,1178.4,530.28,353.52,1060.56,707.04,176.76,117.84
Sierra Leone,15/12/2014,6638,1824,3982.8,2655.2,1194.84,796.56,2389.68,1593.12,398.28,265.52
Spain,17/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,17/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,17/12/2014,2946,,1767.6,1178.4,530.28,353.52,1060.56,707.04,176.76,117.84
Mali,17/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,17/12/2014,6702,1876,4021.2,2680.8,1206.36,804.24,2412.72,1608.48,402.12,268.08
Senegal,17/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,17/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,17/12/2014,2127,1262,1276.2,850.8,382.86,255.24,765.72,510.48,127.62,85.08
Senegal,22/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,22/12/2014,6975,2190,4185,2790,1255.5,837,2511,1674,418.5,279
Liberia,22/12/2014,3085,,1851,1234,555.3,370.2,1110.6,740.4,185.1,123.4
United States of America,22/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,22/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,22/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,22/12/2014,2259,1323,1355.4,903.6,406.62,271.08,813.24,542.16,135.54,90.36
Spain,22/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,23/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,23/12/2014,2284,1344,1370.4,913.6,411.12,274.08,822.24,548.16,137.04,91.36
Liberia,23/12/2014,3085,,1851,1234,555.3,370.2,1110.6,740.4,185.1,123.4
Mali,23/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,23/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,23/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Senegal,23/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,23/12/2014,7017,2216,4210.2,2806.8,1263.06,842.04,2526.12,1684.08,421.02,280.68
Sierra Leone,24/12/2014,7017,2216,4210.2,2806.8,1263.06,842.04,2526.12,1684.08,421.02,280.68
Nigeria,24/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,24/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,24/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,24/12/2014,3085,,1851,1234,555.3,370.2,1110.6,740.4,185.1,123.4
Guinea,24/12/2014,2284,1344,1370.4,913.6,411.12,274.08,822.24,548.16,137.04,91.36
United States of America,24/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,24/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,26/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,26/12/2014,3085,,1851,1234,555.3,370.2,1110.6,740.4,185.1,123.4
Spain,26/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,26/12/2014,2342,1385,1405.2,936.8,421.56,281.04,843.12,562.08,140.52,93.68
Sierra Leone,26/12/2014,7160,2289,4296,2864,1288.8,859.2,2577.6,1718.4,429.6,286.4
Mali,26/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,26/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,26/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,29/12/2014,3108,,1864.8,1243.2,559.44,372.96,1118.88,745.92,186.48,124.32
Mali,29/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,29/12/2014,2384,1422,1430.4,953.6,429.12,286.08,858.24,572.16,143.04,95.36
Nigeria,29/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,29/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Senegal,29/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,29/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,29/12/2014,7326,2366,4395.6,2930.4,1318.68,879.12,2637.36,1758.24,439.56,293.04
Nigeria,30/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,30/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,30/12/2014,2397,1433,1438.2,958.8,431.46,287.64,862.92,575.28,143.82,95.88
Spain,30/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,30/12/2014,3108,,1864.8,1243.2,559.44,372.96,1118.88,745.92,186.48,124.32
Senegal,30/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,30/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,30/12/2014,7354,2392,4412.4,2941.6,1323.72,882.48,2647.44,1764.96,441.24,294.16
Sierra Leone,31/12/2014,7354,2392,4412.4,2941.6,1323.72,882.48,2647.44,1764.96,441.24,294.16
Nigeria,31/12/2014,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,31/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,31/12/2014,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,31/12/2014,2397,1433,1438.2,958.8,431.46,287.64,862.92,575.28,143.82,95.88
Liberia,31/12/2014,3110,,1866,1244,559.8,373.2,1119.6,746.4,186.6,124.4
Senegal,31/12/2014,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,31/12/2014,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,02/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,02/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,02/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,02/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,02/01/2015,3110,,1866,1244,559.8,373.2,1119.6,746.4,186.6,124.4
Senegal,02/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,02/01/2015,2435,1463,1461,974,438.3,292.2,876.6,584.4,146.1,97.4
United States of America,02/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,02/01/2015,7476,2461,4485.6,2990.4,1345.68,897.12,2691.36,1794.24,448.56,299.04
Liberia,05/01/2015,3116,,1869.6,1246.4,560.88,373.92,1121.76,747.84,186.96,124.64
Spain,05/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,05/01/2015,2465,1488,1479,986,443.7,295.8,887.4,591.6,147.9,98.6
Sierra Leone,05/01/2015,7570,2549,4542,3028,1362.6,908.4,2725.2,1816.8,454.2,302.8
Nigeria,05/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,05/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,05/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,05/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,05/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Senegal,06/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,06/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
